timestamp,cpu_percent,mem_usage_mb,mem_limit_mb
1767760172.148196982,42.79,32.480,512.000
1767760174.186627432,19.92,53.430,512.000
1767760176.236834088,22.32,79.210,512.000
1767760178.277645461,19.39,102.000,512.000
1767760180.323609790,21.63,122.700,512.000
1767760182.361842733,19.98,114.600,512.000
1767760184.410378993,18.27,112.400,512.000
1767760186.455366380,18.99,116.800,512.000
1767760188.492305544,18.83,117.400,512.000
1767760190.540710552,18.40,104.700,512.000
1767760192.579267763,21.14,88.980,512.000
1767760194.622536690,19.83,92.050,512.000
1767760196.663641475,16.76,90.980,512.000
1767760198.703131191,17.75,95.280,512.000
1767760200.753027178,18.99,95.390,512.000
1767760202.793248404,24.43,96.290,512.000
1767760204.841365761,18.08,100.400,512.000
1767760206.881596297,19.26,110.500,512.000
1767760208.927368899,16.93,105.900,512.000
1767760210.972150815,16.97,106.800,512.000
1767760213.013448806,23.47,91.670,512.000
1767760215.056910031,18.01,93.160,512.000
1767760217.098248941,18.72,90.990,512.000
1767760219.142230977,17.57,91.910,512.000
1767760221.181144138,18.28,99.400,512.000
1767760223.226975612,20.01,101.800,512.000
1767760225.269931545,18.25,105.400,512.000
1767760227.307520100,16.19,102.300,512.000
1767760229.360868363,19.05,74.440,512.000
1767760231.397735181,18.41,93.740,512.000
1767760233.452659117,20.88,90.880,512.000
1767760235.490951144,17.05,94.700,512.000
1767760237.538421755,17.61,91.960,512.000
1767760239.577079177,16.67,94.570,512.000
1767760241.615284965,16.91,92.420,512.000
1767760243.663528511,15.76,90.860,512.000
1767760245.704362238,17.51,93.270,512.000
1767760247.754608909,17.69,90.650,512.000
1767760249.803286534,16.72,91.980,512.000
1767760251.849794802,19.25,94.730,512.000
1767760253.893778457,20.83,103.600,512.000
1767760255.940766685,19.49,101.800,512.000
1767760257.981803063,18.25,98.270,512.000
1767760260.023305211,18.97,100.200,512.000
1767760262.060901245,20.78,109.100,512.000
1767760264.104866129,17.14,105.100,512.000
1767760266.151147132,17.19,98.060,512.000
1767760268.189650770,17.85,106.000,512.000
1767760270.242323979,18.27,97.710,512.000
1767760272.283286346,17.40,102.900,512.000
1767760274.331397821,16.59,99.850,512.000
1767760276.371282876,20.13,102.300,512.000
1767760278.410460792,17.47,98.550,512.000
1767760280.458795943,17.42,100.500,512.000
1767760282.499348468,16.98,98.200,512.000
1767760284.544754733,18.95,104.400,512.000
1767760286.585104069,19.00,104.900,512.000
1767760288.632354965,16.59,99.310,512.000
1767760290.672437020,18.00,103.400,512.000
1767760292.711932192,16.65,100.100,512.000
1767760294.753279578,18.32,102.900,512.000
1767760296.793565208,16.91,97.430,512.000
1767760298.839884527,16.75,100.100,512.000
1767760300.888056752,16.61,97.150,512.000
1767760302.935429212,16.17,99.980,512.000
1767760304.975808700,17.41,95.520,512.000
1767760307.016466822,16.29,99.430,512.000
1767760309.061326296,23.59,105.900,512.000
1767760311.108088379,18.50,98.410,512.000
1767760313.158632926,22.33,102.200,512.000
1767760315.197395813,17.78,96.880,512.000
1767760317.247013606,18.77,101.200,512.000
1767760319.288492199,17.57,98.590,512.000
1767760321.344471768,17.81,83.380,512.000
1767760323.380694703,19.36,86.820,512.000
1767760325.425260952,16.44,86.110,512.000
1767760327.466913609,18.00,85.220,512.000
1767760329.505040693,16.23,88.230,512.000
1767760331.555946513,19.67,83.880,512.000
1767760333.601034308,19.59,87.450,512.000
1767760335.643870966,18.34,83.160,512.000
1767760337.688346215,16.31,86.410,512.000
1767760339.735391657,16.84,75.090,512.000
1767760341.773192576,16.56,75.550,512.000
1767760343.813578567,20.24,76.310,512.000
1767760345.860611540,17.25,79.150,512.000
1767760347.899319089,15.88,79.050,512.000
1767760349.943496855,16.43,82.270,512.000
1767760351.982114280,17.71,82.660,512.000
1767760354.027502619,19.36,86.470,512.000
1767760356.068392884,16.36,82.580,512.000
1767760358.112187671,16.04,86.230,512.000
1767760360.154326128,18.32,91.260,512.000
1767760362.194205332,16.95,91.930,512.000
1767760364.244288930,19.11,95.800,512.000
1767760366.283877110,17.79,99.100,512.000
1767760368.327491140,16.96,96.410,512.000
1767760370.365631549,17.10,99.450,512.000
1767760372.405310750,16.19,96.780,512.000
1767760374.452191625,16.37,99.730,512.000
1767760376.490327084,16.72,102.900,512.000
1767760378.537677766,15.26,96.730,512.000
1767760380.577477458,16.71,101.000,512.000
1767760382.615713464,18.44,103.500,512.000
1767760384.660674568,15.45,99.230,512.000
1767760386.701557986,16.66,97.820,512.000
1767760388.747863922,17.00,101.000,512.000
1767760390.788735810,16.63,99.360,512.000
1767760392.833680456,17.99,97.490,512.000
1767760394.872172806,18.33,100.300,512.000
1767760396.910704657,16.61,98.480,512.000
1767760398.956896104,19.16,81.950,512.000
1767760400.997324182,17.42,87.270,512.000
1767760403.041625112,18.95,99.940,512.000
1767760405.080122498,20.04,98.200,512.000
1767760407.127101596,19.35,96.890,512.000
1767760409.166221232,16.60,99.040,512.000
1767760411.205839720,15.57,97.550,512.000
1767760413.252942816,15.45,100.900,512.000
1767760415.296141710,18.25,97.640,512.000
1767760417.345559810,17.47,95.750,512.000
1767760419.385102563,18.12,98.710,512.000
1767760421.434818162,16.37,98.070,512.000
1767760423.474779590,15.43,101.600,512.000
1767760425.512291684,19.43,95.210,512.000
1767760427.555226325,17.81,95.170,512.000
1767760429.594125806,17.07,98.550,512.000
1767760431.641455946,20.24,90.790,512.000
1767760433.679565006,17.76,86.540,512.000
1767760435.720391945,18.48,85.270,512.000
1767760437.767224347,18.34,84.450,512.000
1767760439.807238593,17.37,87.420,512.000
1767760441.852917711,16.99,85.470,512.000
1767760443.891613722,20.37,88.700,512.000
1767760445.941548665,18.73,83.060,512.000
1767760447.981006716,16.32,86.280,512.000
1767760450.024460669,17.05,82.730,512.000
1767760452.065860548,17.41,82.300,512.000
1767760454.105590599,20.38,86.750,512.000
1767760456.148968327,18.15,94.340,512.000
1767760458.189898000,17.47,96.860,512.000
1767760460.234890600,16.72,97.340,512.000
1767760462.272633270,16.94,100.300,512.000
1767760464.314909723,20.57,98.440,512.000
1767760466.363710466,15.45,96.430,512.000
1767760468.404621334,17.60,99.900,512.000
1767760470.451034267,17.80,97.760,512.000
1767760472.494355294,16.78,101.400,512.000
1767760474.544745105,20.73,98.580,512.000
1767760476.584569605,16.72,101.800,512.000
1767760478.626540676,19.01,96.960,512.000
1767760480.664435507,16.99,100.100,512.000
1767760482.702175358,17.79,103.700,512.000
1767760484.749050963,20.98,97.520,512.000
1767760486.787287250,16.99,100.400,512.000
1767760488.832498535,16.87,98.340,512.000
1767760490.872991932,17.93,101.500,512.000
1767760492.911707494,17.23,98.130,512.000
1767760494.955534207,20.34,100.100,512.000
1767760496.993897406,16.32,98.890,512.000
1767760499.040211982,17.54,96.450,512.000
1767760501.083778827,17.54,99.470,512.000
1767760503.132928780,16.68,98.150,512.000
1767760505.173694354,16.75,101.300,512.000
1767760507.212995331,18.91,102.800,512.000
1767760509.258778810,17.04,96.640,512.000
1767760511.297504044,17.38,94.770,512.000
1767760513.344181716,17.21,98.750,512.000
1767760515.381806729,18.73,102.000,512.000
1767760517.424380296,16.80,98.570,512.000
1767760519.469205020,17.10,96.440,512.000
1767760521.507596585,17.69,97.020,512.000
1767760523.555075795,17.56,99.570,512.000
1767760525.594010892,17.33,103.200,512.000
1767760527.639639548,17.50,97.320,512.000
1767760529.681779567,18.06,100.400,512.000
1767760531.721079149,17.52,102.800,512.000
1767760533.768529631,17.04,97.730,512.000
1767760535.807934321,17.29,101.000,512.000
1767760537.852464435,18.08,95.300,512.000
1767760539.893840852,18.06,98.470,512.000
1767760541.944395795,17.39,96.020,512.000
1767760543.983433018,16.52,99.980,512.000
1767760546.031109230,17.43,95.960,512.000
1767760548.070748142,17.16,96.050,512.000
1767760550.111592453,17.78,99.440,512.000
1767760552.156590740,16.49,95.720,512.000
1767760554.195755386,17.68,99.980,512.000
1767760556.242995000,19.11,102.400,512.000
1767760558.282003308,16.77,97.780,512.000
1767760560.324182824,18.28,101.700,512.000
1767760562.363878312,17.05,98.170,512.000
1767760564.402061572,16.85,101.100,512.000
1767760566.444667164,16.39,96.710,512.000
1767760568.484429091,17.58,101.000,512.000
1767760570.529692322,16.98,97.480,512.000
1767760572.568387928,18.55,100.400,512.000
1767760574.608038078,20.33,96.980,512.000
1767760576.653570529,18.46,78.400,512.000
1767760578.694956482,18.13,81.770,512.000
1767760580.741627452,18.50,91.460,512.000
1767760582.787399608,18.48,95.930,512.000
1767760584.833066171,19.40,99.340,512.000
1767760586.877281801,17.93,96.260,512.000
1767760588.927343222,17.32,77.360,512.000
1767760590.967187468,18.49,96.720,512.000
1767760593.008163081,16.43,77.150,512.000
1767760595.055812724,20.42,77.980,512.000
1767760597.098582098,16.55,79.360,512.000
1767760599.150055243,19.34,84.330,512.000
1767760601.191360935,19.55,91.990,512.000
1767760603.236656455,16.58,95.710,512.000
1767760605.273626558,20.64,92.130,512.000
1767760607.315175468,14.98,95.260,512.000
1767760609.358601960,16.73,92.570,512.000
1767760611.402550070,18.82,96.530,512.000
1767760613.447935081,16.83,95.320,512.000
1767760615.487990326,20.73,98.350,512.000
1767760617.538464581,16.39,93.510,512.000
1767760619.584557133,18.97,96.340,512.000
1767760621.633490470,16.50,94.930,512.000
1767760623.675666362,17.23,92.920,512.000
1767760625.714877849,18.89,96.090,512.000
1767760627.756124734,16.92,93.760,512.000
1767760629.795095942,18.26,96.470,512.000
1767760631.841168403,16.81,94.160,512.000
1767760633.881149873,16.55,98.090,512.000
1767760635.931257303,18.25,94.400,512.000
1767760637.975383638,17.97,98.430,512.000
1767760640.016479934,16.91,95.730,512.000
1767760642.062073243,17.13,98.200,512.000
1767760644.101792277,16.89,97.360,512.000
1767760646.149217867,18.04,101.700,512.000
1767760648.186945884,18.56,95.530,512.000
1767760650.229781001,18.45,95.230,512.000
1767760652.270650814,17.60,98.990,512.000
1767760654.308660296,17.88,95.390,512.000
1767760656.354707577,16.02,98.770,512.000
1767760658.394690165,17.48,96.290,512.000
1767760660.441278895,17.90,99.460,512.000
1767760662.479441877,16.09,96.890,512.000
1767760664.527476059,18.18,100.500,512.000
