timestamp,cpu_percent,mem_usage_mb,mem_limit_mb
1766663846.924861972,29.79,66.790,1024.000
1766663848.961793508,17.12,83.240,1024.000
1766663851.009953114,11.80,85.420,1024.000
1766663853.049113887,11.27,88.430,1024.000
1766663855.093419446,12.10,89.850,1024.000
1766663857.133065623,12.44,93.840,1024.000
1766663859.170811482,13.32,95.900,1024.000
1766663861.215786943,10.89,95.960,1024.000
1766663863.256303689,10.62,95.950,1024.000
1766663865.303158769,12.90,95.780,1024.000
1766663867.342576787,9.53,96.840,1024.000
1766663869.388201960,9.38,96.640,1024.000
1766663871.429721074,9.51,96.720,1024.000
1766663873.469975737,10.47,96.960,1024.000
1766663875.519478992,13.46,98.100,1024.000
1766663877.560320330,12.54,100.500,1024.000
1766663879.607248157,11.63,100.200,1024.000
1766663881.645652235,9.32,100.400,1024.000
1766663883.689960680,10.29,101.400,1024.000
1766663885.729674154,12.30,101.200,1024.000
1766663887.769558289,10.47,101.500,1024.000
1766663889.811275436,13.07,101.100,1024.000
1766663891.851252666,10.25,102.100,1024.000
1766663893.901495264,10.31,102.600,1024.000
1766663895.940492099,12.63,102.400,1024.000
1766663897.983186896,9.57,102.600,1024.000
1766663900.025470719,11.13,102.800,1024.000
1766663902.063507506,10.81,103.000,1024.000
1766663904.111287448,11.31,103.000,1024.000
1766663906.148808393,16.64,103.500,1024.000
1766663908.197925112,10.32,103.000,1024.000
1766663910.237568403,9.69,103.500,1024.000
1766663912.275502467,9.87,103.300,1024.000
1766663914.321036981,9.59,103.600,1024.000
1766663916.364664194,9.85,103.300,1024.000
1766663918.416092634,8.54,103.300,1024.000
1766663920.456267617,11.65,103.600,1024.000
1766663922.502998834,9.40,103.500,1024.000
1766663924.541884850,9.84,104.100,1024.000
1766663926.589796630,9.43,104.800,1024.000
1766663928.629037324,9.65,104.400,1024.000
1766663930.670199926,11.77,104.000,1024.000
1766663932.715345317,11.77,104.300,1024.000
1766663934.755514811,10.60,104.800,1024.000
1766663936.803484750,9.10,104.800,1024.000
1766663938.844651570,8.90,103.900,1024.000
1766663940.890949441,9.96,104.300,1024.000
1766663942.929790823,9.74,104.400,1024.000
1766663944.968579116,9.44,105.100,1024.000
1766663947.016147569,9.64,105.600,1024.000
1766663949.056712526,9.65,106.000,1024.000
1766663951.099038129,9.24,105.500,1024.000
1766663953.138907447,9.30,107.000,1024.000
1766663955.181850702,11.18,107.100,1024.000
1766663957.221998985,9.21,107.100,1024.000
1766663959.259909735,9.65,106.800,1024.000
1766663961.303131895,12.08,107.800,1024.000
1766663963.341485930,9.11,106.600,1024.000
1766663965.383882085,10.18,106.300,1024.000
1766663967.423950548,13.11,106.900,1024.000
1766663969.465438774,9.79,106.800,1024.000
1766663971.514711566,9.84,106.900,1024.000
1766663973.553366417,9.57,106.900,1024.000
1766663975.601182567,9.46,106.400,1024.000
