timestamp,cpu_percent,mem_usage_mb,mem_limit_mb
1766647548.514084633,65.90,42.480,1024.000
1766647550.568453280,64.05,50.640,1024.000
1766647552.607423548,42.75,56.780,1024.000
1766647554.654028138,36.97,57.050,1024.000
1766647556.694561491,29.01,59.020,1024.000
1766647558.741224392,21.95,58.660,1024.000
1766647560.781039602,22.19,59.580,1024.000
1766647562.820290350,21.14,59.610,1024.000
1766647564.863792977,21.42,59.470,1024.000
1766647566.904283180,20.81,60.390,1024.000
1766647568.964354282,19.60,60.280,1024.000
1766647571.000468040,20.53,60.150,1024.000
1766647573.045492495,18.88,60.620,1024.000
1766647575.085031657,18.02,60.750,1024.000
1766647577.129714269,19.81,60.550,1024.000
1766647579.170606460,21.50,60.560,1024.000
1766647581.211704849,21.26,61.340,1024.000
1766647583.261117203,22.16,61.300,1024.000
1766647585.301719749,17.37,60.860,1024.000
1766647587.351130940,21.79,60.460,1024.000
1766647589.390647751,21.93,60.280,1024.000
1766647591.436069176,17.61,60.470,1024.000
1766647593.473646764,21.70,60.850,1024.000
1766647595.514027984,22.06,60.500,1024.000
1766647597.560239017,16.47,60.610,1024.000
1766647599.598940233,24.89,60.190,1024.000
1766647601.648836469,21.66,61.140,1024.000
1766647603.688932583,18.67,61.700,1024.000
1766647605.731432655,21.00,61.080,1024.000
1766647607.772540766,20.46,61.710,1024.000
1766647609.811066963,20.95,60.480,1024.000
1766647611.859105370,20.48,60.930,1024.000
1766647613.897127297,18.68,60.470,1024.000
1766647615.945783508,21.13,60.580,1024.000
1766647617.985603834,20.12,60.980,1024.000
1766647620.029604585,22.25,61.050,1024.000
1766647622.072147059,20.32,60.360,1024.000
1766647624.109622808,21.14,60.580,1024.000
1766647626.159908901,21.36,61.370,1024.000
1766647628.199074514,22.12,60.070,1024.000
1766647630.251269974,22.61,60.600,1024.000
1766647632.292031774,21.55,60.300,1024.000
1766647634.335679863,21.98,60.080,1024.000
1766647636.379313343,20.29,60.720,1024.000
1766647638.419871410,21.22,60.680,1024.000
